dataset,scene,method,checkpoint_path,point_cloud_path,result_path,log_path,status,stage2_train_time_sec,stage2_train_time_min,stage2_train_time_hour,train_time_source,num_benchmark_views,render_time_total_sec,render_time_per_view_sec,render_fps,render_fps_std,benchmark_resolution,benchmark_mode,peak_gpu_memory_mb,peak_torch_allocated_mb,peak_torch_reserved_mb,memory_measure_source,checkpoint_size_mb,point_cloud_size_mb,total_model_size_mb,num_gaussians,total_parameter_count,appearance_parameter_count,trainable_parameter_count_stage2,parameter_overhead_vs_3dgs30k,model_size_overhead_vs_3dgs30k_mb
Mip-NeRF360,bicycle,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<OUTPUT_ROOT>\output\bicycle\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\bicycle\results.json,,success,,,,unavailable,25,0.6593476,0.026373904,37.9162675348,0,1600x1063,original_3dgs,4954,3845.48779297,4954,direct_benchmark,3248.51062107,1118.60261154,1118.60261154,4730975,279127525,0,0,0,0
Mip-NeRF360,bicycle,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_40k_cont\train.log,success,1179.4734297,19.657890495,0.32763150825,parsed_log,25,0.6585118,0.026340472,37.9643918302,0,1600x1063,original_3dgs,4960,3848.11035156,4960,direct_benchmark,3248.51062107,1118.9327774,1118.9327774,4730975,279127525,0,279127525,0,0.33016586
Mip-NeRF360,bicycle,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\sh_only_10k\train.log,success,1237.1574907,20.6192915117,0.343654858528,parsed_log,25,0.6641016,0.026564064,37.6448422952,0,1600x1063,original_3dgs,4962,3850.11035156,4962,direct_benchmark,3248.510499,1118.93277359,1118.93277359,4730975,279127525,0,227086800,0,0.33016205
Mip-NeRF360,bicycle,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\app_only_10k\train.log,success,3986.1035334,66.43505889,1.1072509815,parsed_log,25,0.6577251,0.026309004,38.0098007511,0,1600x1063,cuda_fused,4794,3994.49316406,4794,direct_benchmark,3681.65842915,1263.31501389,1263.31501389,4730975,316975468,37847943,37847943,37847943,144.71240235
Mip-NeRF360,bicycle,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\train.log,success,5993.6846502,99.89474417,1.66491240283,parsed_log,25,0.6594424,0.026377696,37.9108167749,0,1600x1063,cuda_fused,4794,3994.49316406,4794,direct_benchmark,3681.65842915,1263.31501293,1263.31501293,4730975,316975468,37847943,264934743,37847943,144.71240139
Mip-NeRF360,bicycle,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\train.log,success,5993.6846502,99.89474417,1.66491240283,parsed_log,25,1.4098573,0.056394292,17.7322910624,0,1600x1063,torch_precompute,5930,4210.11621094,5930,direct_benchmark,3681.65842915,1263.31501293,1263.31501293,4730975,316975468,37847943,264934743,37847943,144.71240139
Mip-NeRF360,bonsai,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\bonsai\chkpnt30000.pth,<OUTPUT_ROOT>\output\bonsai\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\bonsai\results.json,,success,,,,unavailable,37,0.3235399,0.00874432162162,114.359929023,0,1600x1066,original_3dgs,3104,2485.47265625,3104,direct_benchmark,728.731934547,250.970623016,250.970623016,1061280,62615520,0,0,0,0
Mip-NeRF360,bonsai,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_40k_cont\train.log,success,549.4731973,9.15788662167,0.152631443694,parsed_log,37,0.3392963,0.00917017027027,109.049229243,0,1600x1066,original_3dgs,3360,2495.54931641,3360,direct_benchmark,728.731934547,251.00869751,251.00869751,1061280,62615520,0,62615520,0,0.038074494
Mip-NeRF360,bonsai,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\sh_only_10k\train.log,success,541.449442,9.02415736667,0.150402622778,parsed_log,37,0.368618,0.00996264864865,100.374913867,0,1600x1066,original_3dgs,3336,2489.54931641,3336,direct_benchmark,728.731812477,251.008693695,251.008693695,1061280,62615520,0,50941440,0,0.038070679
Mip-NeRF360,bonsai,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\app_only_10k\train.log,success,956.3663066,15.9394384433,0.265657307389,parsed_log,37,0.3439902,0.00929703243243,107.561203778,0,1600x1066,cuda_fused,3508,2521.94189453,3508,direct_benchmark,825.909039497,283.400730133,283.400730133,1061280,71105903,8490383,8490383,8490383,32.430107117
Mip-NeRF360,bonsai,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\train.log,success,1024.6573796,17.0776229933,0.284627049889,parsed_log,37,0.3445795,0.00931295945946,107.377252564,0,1600x1066,cuda_fused,3508,2521.94189453,3508,direct_benchmark,825.909039497,283.400729179,283.400729179,1061280,71105903,8490383,59431823,8490383,32.430106163
Mip-NeRF360,bonsai,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\train.log,success,1024.6573796,17.0776229933,0.284627049889,parsed_log,37,0.5898193,0.0159410621622,62.7310771282,0,1600x1066,torch_precompute,3460,2570.52392578,3460,direct_benchmark,825.909039497,283.400729179,283.400729179,1061280,71105903,8490383,59431823,8490383,32.430106163
Mip-NeRF360,counter,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\counter\chkpnt30000.pth,<OUTPUT_ROOT>\output\counter\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\counter\results.json,,success,,,,unavailable,30,0.3687437,0.0122914566667,81.3573221725,0,1600x1066,original_3dgs,3450,3396.16992188,3450,direct_benchmark,718.405152321,247.398357391,247.398357391,1046241,61728219,0,0,0,0
Mip-NeRF360,counter,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_40k_cont\train.log,success,622.4803143,10.374671905,0.172911198417,parsed_log,30,0.3319487,0.0110649566667,90.3754104173,0,1600x1066,original_3dgs,3454,3400.20214844,3454,direct_benchmark,718.405152321,247.451805115,247.451805115,1046241,61728219,0,61728219,0,0.053447724
Mip-NeRF360,counter,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\counter\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\counter\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\counter\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\counter\sh_only_10k\train.log,success,610.3980188,10.1733003133,0.169555005222,parsed_log,30,0.3326739,0.01108913,90.1783999286,0,1600x1066,original_3dgs,3454,3398.50244141,3454,direct_benchmark,718.405030251,247.4518013,247.4518013,1046241,61728219,0,50219568,0,0.053443909
Mip-NeRF360,counter,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\counter\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\counter\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\counter\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\counter\app_only_10k\train.log,success,1082.9351286,18.04891881,0.3008153135,parsed_log,30,0.3497154,0.01165718,85.784040394,0,1600x1066,cuda_fused,3770,3430.43652344,3770,direct_benchmark,814.205304146,279.384883881,279.384883881,1046241,70098290,8370071,8370071,8370071,31.98652649
Mip-NeRF360,counter,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\train.log,success,1153.1301735,19.218836225,0.320313937083,parsed_log,30,0.3728746,0.0124291533333,80.456003171,0,1600x1066,cuda_fused,3770,3430.43652344,3770,direct_benchmark,814.205304146,279.384882927,279.384882927,1046241,70098290,8370071,58589639,8370071,31.986525536
Mip-NeRF360,counter,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\train.log,success,1153.1301735,19.218836225,0.320313937083,parsed_log,30,0.5366704,0.0178890133333,55.9002322468,0,1600x1066,torch_precompute,3566,3478.33105469,3566,direct_benchmark,814.205304146,279.384882927,279.384882927,1046241,70098290,8370071,58589639,8370071,31.986525536
Mip-NeRF360,flowers,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\flowers\chkpnt30000.pth,<OUTPUT_ROOT>\output\flowers\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\flowers\results.json,,success,,,,unavailable,22,0.2843547,0.0129252136364,77.368160259,0,1600x1054,original_3dgs,5480,4833.00585938,5480,direct_benchmark,1946.36706638,679.820354462,679.820354462,2834591,167240869,0,0,0,0
Mip-NeRF360,flowers,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_40k_cont\train.log,success,775.282761,12.92137935,0.2153563225,parsed_log,22,0.297213,0.0135096818182,74.0209883148,0,1600x1054,original_3dgs,5246,4818.34423828,5246,direct_benchmark,1946.36706638,670.416664124,670.416664124,2834591,167240869,0,167240869,0,-9.403690338
Mip-NeRF360,flowers,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\sh_only_10k\train.log,success,799.9591261,13.3326521017,0.222210868361,parsed_log,22,0.3065533,0.0139342409091,71.7656603273,0,1600x1054,original_3dgs,5222,4810.34521484,5222,direct_benchmark,1946.36694431,670.416660309,670.416660309,2834591,167240869,0,136060368,0,-9.403694153
Mip-NeRF360,flowers,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\app_only_10k\train.log,success,1488.8586627,24.814311045,0.41357185075,parsed_log,22,0.2846156,0.0129370727273,77.2972388021,0,1600x1054,cuda_fused,5238,4896.85400391,5238,direct_benchmark,2205.89573383,756.925853729,756.925853729,2834591,189917740,22676871,22676871,22676871,77.105499267
Mip-NeRF360,flowers,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\train.log,success,1662.3526407,27.705877345,0.461764622417,parsed_log,22,0.3134447,0.0142474863636,70.1878194144,0,1600x1054,cuda_fused,5238,4896.85400391,5238,direct_benchmark,2205.89573383,756.925852776,756.925852776,2834591,189917740,22676871,158737239,22676871,77.105498314
Mip-NeRF360,flowers,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\train.log,success,1662.3526407,27.705877345,0.461764622417,parsed_log,22,0.6803088,0.0309231272727,32.3382558038,0,1600x1054,torch_precompute,5544,5026.61181641,5544,direct_benchmark,2205.89573383,756.925852776,756.925852776,2834591,189917740,22676871,158737239,22676871,77.105498314
Mip-NeRF360,garden,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\garden\chkpnt30000.pth,<OUTPUT_ROOT>\output\garden\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\garden\results.json,,success,,,,unavailable,24,0.4893239,0.0203884958333,49.0472670556,0,1600x1036,original_3dgs,6644,6302.19042969,6644,direct_benchmark,2901.40686131,997.226940155,997.226940155,4225468,249302612,0,0,0,0
Mip-NeRF360,garden,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_40k_cont\train.log,success,1078.9732028,17.9828867133,0.299714778556,parsed_log,24,0.4622796,0.01926165,51.9166322719,0,1600x1036,original_3dgs,6656,6308.09863281,6656,direct_benchmark,2901.40686131,999.374694824,999.374694824,4225468,249302612,0,249302612,0,2.147754669
Mip-NeRF360,garden,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\garden\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\garden\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\garden\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\garden\sh_only_10k\train.log,success,1128.0315596,18.8005259933,0.313342099889,parsed_log,24,0.4713994,0.0196416416667,50.9122412969,0,1600x1036,original_3dgs,6648,6305.60986328,6648,direct_benchmark,2901.40673923,999.37469101,999.37469101,4225468,249302612,0,202822464,0,2.147750855
Mip-NeRF360,garden,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\garden\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\garden\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\garden\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\garden\app_only_10k\train.log,success,2175.2777066,36.2546284433,0.604243807389,parsed_log,24,0.4745113,0.0197713041667,50.5783529286,0,1600x1036,cuda_fused,6642,6434.56591797,6642,direct_benchmark,3288.27402973,1128.33008194,1128.33008194,4225468,283106499,33803887,33803887,33803887,131.103141785
Mip-NeRF360,garden,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\train.log,success,2423.6757435,40.394595725,0.673243262083,parsed_log,24,0.4692279,0.0195511625,51.1478537401,0,1600x1036,cuda_fused,6642,6434.56591797,6642,direct_benchmark,3288.27402973,1128.33008099,1128.33008099,4225468,283106499,33803887,236626351,33803887,131.103140835
Mip-NeRF360,garden,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\train.log,success,2423.6757435,40.394595725,0.673243262083,parsed_log,24,1.1100394,0.0462516416667,21.6208541787,0,1600x1036,torch_precompute,7096,6627.99414062,7096,direct_benchmark,3288.27402973,1128.33008099,1128.33008099,4225468,283106499,33803887,236626351,33803887,131.103140835
Mip-NeRF360,kitchen,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\kitchen\chkpnt30000.pth,<OUTPUT_ROOT>\output\kitchen\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\kitchen\results.json,,success,,,,unavailable,35,0.5041546,0.0144044171429,69.4231491689,0,1600x1067,original_3dgs,6868,5795.67041016,6868,direct_benchmark,1056.99279881,363.443065643,363.443065643,1539345,90821355,0,0,0,0
Mip-NeRF360,kitchen,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_40k_cont\train.log,success,783.1679838,13.05279973,0.217546662167,parsed_log,35,0.5079273,0.0145122085714,68.9074991638,0,1600x1067,original_3dgs,6902,5804.30078125,6902,direct_benchmark,1056.99279881,364.076438904,364.076438904,1539345,90821355,0,90821355,0,0.633373261
Mip-NeRF360,kitchen,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\sh_only_10k\train.log,success,765.4690843,12.7578180717,0.212630301194,parsed_log,35,0.5389457,0.0153984485714,64.9416072899,0,1600x1067,original_3dgs,6874,5798.4296875,6874,direct_benchmark,1056.9926157,364.076435089,364.076435089,1539345,90821355,0,73888560,0,0.633369446
Mip-NeRF360,kitchen,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\app_only_10k\train.log,success,1443.9666436,24.0661107267,0.401101845444,parsed_log,35,0.513687,0.0146767714286,68.1348759069,0,1600x1067,cuda_fused,6962,5845.99804688,6962,direct_benchmark,1197.93797016,411.057857513,411.057857513,1539345,103136258,12314903,12314903,12314903,47.61479187
Mip-NeRF360,kitchen,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\geofar_sh_ours\train.log,success,1547.6031845,25.7933864083,0.429889773472,parsed_log,35,0.528767,0.0151076285714,66.1917252779,0,1600x1067,cuda_fused,6962,5845.99804688,6962,direct_benchmark,1197.93797016,411.05785656,411.05785656,1539345,103136258,12314903,86203463,12314903,47.614790917
