dataset,scene,parameter_group,tensor_name,trainable_stage2,shape_init,shape_final,mean_abs_delta,max_abs_delta,l2_delta,init_mean_abs,final_mean_abs,status,init_checkpoint,final_checkpoint
Mip-NeRF360,bicycle,Number of Gaussians,__num_gaussians__,No,4730975,4730975,0,0,0,4730975,4730975,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Position,_xyz,No,4730975x3,4730975x3,0,0,0,5.57997199647,5.57997199647,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Scale,_scaling,No,4730975x3,4730975x3,0,0,0,5.60976020324,5.60976020324,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Rotation,_rotation,No,4730975x4,4730975x4,0,0,0,0.375022259004,0.375022259004,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Opacity,_opacity,No,4730975x1,4730975x1,0,0,0,2.29588729557,2.29588729557,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,SH coefficients,_features_dc,Yes,4730975x1x3,4730975x1x3,0.011241439966,0.205217480659,69.3415147408,1.24913426434,1.25110109798,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,SH coefficients,_features_rest,Yes,4730975x15x3,4730975x15x3,0.0173340885494,0.269476532936,382.63778685,0.0576447507222,0.0671518311152,PASS,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Appearance latent,_appearance_latent,Yes,,4730975x8,,,,,0.17067333731,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_b_diff,Yes,,3,,,,,0.00429820492476,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_b_gate,Yes,,1,,,,,0.0141317937523,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_b_mask,Yes,,1,,,,,0.00150260981172,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_b_rgb,Yes,,3,,,,,0,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_b_spec,Yes,,3,,,,,0.00569265304754,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_w_diff,Yes,,3x12,,,,,0.0662335003524,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_w_gate,Yes,,1x12,,,,,0.0139529087319,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_w_mask,Yes,,1x12,,,,,0.0446148532258,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_w_rgb,Yes,,3x12,,,,,0.00826791041578,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bicycle,Residual heads,app_w_spec,Yes,,3x12,,,,,0.0675811912677,new_and_trained,<OUTPUT_ROOT>\output_ckpt30k\bicycle\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bonsai,Number of Gaussians,__num_gaussians__,No,1061280,1061280,0,0,0,1061280,1061280,PASS,<OUTPUT_ROOT>\output_ckpt30k\bonsai\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bonsai,Position,_xyz,No,1061280x3,1061280x3,0,0,0,5.00075084166,5.00075084166,PASS,<OUTPUT_ROOT>\output_ckpt30k\bonsai\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\chkpnt40000.pth
Mip-NeRF360,bonsai,Scale,_scaling,No,1061280x3,1061280x3,0,0,0,4.66289998306,4.66289998306,PASS,<OUTPUT_ROOT>\output_ckpt30k\bonsai\chkpnt30000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\chkpnt40000.pth
