dataset,method,num_scenes,psnr,ssim,lpips,delta_psnr_vs_3dgs30k,delta_ssim_vs_3dgs30k,delta_lpips_vs_3dgs30k
Mip-NeRF360,3DGS-30k,9,27.5285,0.8128,0.2212,0.0000,0.0000,0.0000
Mip-NeRF360,3DGS-40k-cont,9,27.6626,0.8136,0.2188,0.1341,0.0008,-0.0024
Mip-NeRF360,SH-only-10k,9,27.7461,0.8145,0.2189,0.2176,0.0017,-0.0024
Mip-NeRF360,App-only-10k,9,27.7105,0.8145,0.2192,0.1820,0.0017,-0.0020
Mip-NeRF360,GeoFAR-SH,9,27.7443,0.8145,0.2187,0.2158,0.0017,-0.0026
Tanks&Temples,3DGS-30k,2,23.6595,0.8522,0.1695,0.0000,0.0000,0.0000
Tanks&Temples,3DGS-40k-cont,2,23.8765,0.8547,0.1656,0.2170,0.0025,-0.0039
Tanks&Temples,SH-only-10k,2,24.0083,0.8558,0.1665,0.3489,0.0036,-0.0030
Tanks&Temples,App-only-10k,2,23.9423,0.8551,0.1670,0.2829,0.0029,-0.0025
Tanks&Temples,GeoFAR-SH,2,24.0072,0.8558,0.1659,0.3477,0.0036,-0.0036
DeepBlending,3DGS-30k,2,29.8211,0.9069,0.2378,0.0000,0.0000,0.0000
DeepBlending,3DGS-40k-cont,2,29.7478,0.9055,0.2377,-0.0733,-0.0015,-0.0001
DeepBlending,SH-only-10k,2,29.8935,0.9073,0.2369,0.0724,0.0003,-0.0009
DeepBlending,App-only-10k,2,29.9515,0.9079,0.2365,0.1304,0.0010,-0.0013
DeepBlending,GeoFAR-SH,2,29.9086,0.9073,0.2367,0.0875,0.0004,-0.0011



