dataset,scene,method,psnr,ssim,lpips,source_file,source_mtime
Mip-NeRF360,bicycle,3DGS-30k,25.1139,0.7475,0.2419,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_30k_baseline\compare.csv,2026-05-14T13:17:11
Mip-NeRF360,bicycle,3DGS-40k-cont,25.1195,0.7467,0.2388,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\3dgs_40k_cont\compare.csv,2026-05-14T13:42:00
Mip-NeRF360,bicycle,SH-only-10k,25.2054,0.7485,0.2394,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\sh_only_10k\compare.csv,2026-05-14T14:09:53
Mip-NeRF360,bicycle,App-only-10k,25.1892,0.7485,0.2398,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\app_only_10k\compare.csv,2026-05-14T15:21:58
Mip-NeRF360,bicycle,GeoFAR-SH,25.1828,0.7482,0.2392,<PROJECT_ROOT>\output\paper_fairness_controls\bicycle\geofar_sh_ours\compare.csv,2026-05-14T17:07:33
Mip-NeRF360,bonsai,3DGS-30k,32.4889,0.9475,0.1806,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_30k_baseline\compare.csv,2026-05-14T17:07:33
Mip-NeRF360,bonsai,3DGS-40k-cont,32.7695,0.9483,0.1776,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\3dgs_40k_cont\compare.csv,2026-05-14T17:21:56
Mip-NeRF360,bonsai,SH-only-10k,32.9006,0.9491,0.1775,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\sh_only_10k\compare.csv,2026-05-14T17:36:42
Mip-NeRF360,bonsai,App-only-10k,32.7985,0.9488,0.1779,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\app_only_10k\compare.csv,2026-05-14T17:57:40
Mip-NeRF360,bonsai,GeoFAR-SH,32.9185,0.9493,0.1772,<PROJECT_ROOT>\output\paper_fairness_controls\bonsai\geofar_sh_ours\compare.csv,2026-05-14T18:19:47
Mip-NeRF360,counter,3DGS-30k,29.1645,0.9157,0.1827,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_30k_baseline\compare.csv,2026-05-14T18:19:47
Mip-NeRF360,counter,3DGS-40k-cont,29.3830,0.9171,0.1801,<PROJECT_ROOT>\output\paper_fairness_controls\counter\3dgs_40k_cont\compare.csv,2026-05-14T18:34:33
Mip-NeRF360,counter,SH-only-10k,29.4113,0.9174,0.1806,<PROJECT_ROOT>\output\paper_fairness_controls\counter\sh_only_10k\compare.csv,2026-05-14T18:49:52
Mip-NeRF360,counter,App-only-10k,29.3225,0.9172,0.1813,<PROJECT_ROOT>\output\paper_fairness_controls\counter\app_only_10k\compare.csv,2026-05-14T19:12:08
Mip-NeRF360,counter,GeoFAR-SH,29.4193,0.9178,0.1803,<PROJECT_ROOT>\output\paper_fairness_controls\counter\geofar_sh_ours\compare.csv,2026-05-14T19:35:36
Mip-NeRF360,flowers,3DGS-30k,21.3614,0.5875,0.3595,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_30k_baseline\compare.csv,2026-05-14T19:35:36
Mip-NeRF360,flowers,3DGS-40k-cont,21.4052,0.5885,0.3577,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\3dgs_40k_cont\compare.csv,2026-05-14T19:53:06
Mip-NeRF360,flowers,SH-only-10k,21.4322,0.5889,0.3584,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\sh_only_10k\compare.csv,2026-05-14T20:11:52
Mip-NeRF360,flowers,App-only-10k,21.4207,0.5885,0.3586,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\app_only_10k\compare.csv,2026-05-14T20:41:05
Mip-NeRF360,flowers,GeoFAR-SH,21.4173,0.5889,0.3580,<PROJECT_ROOT>\output\paper_fairness_controls\flowers\geofar_sh_ours\compare.csv,2026-05-14T21:13:06
Mip-NeRF360,garden,3DGS-30k,27.3781,0.8577,0.1217,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_30k_baseline\compare.csv,2026-05-14T21:13:06
Mip-NeRF360,garden,3DGS-40k-cont,27.4066,0.8578,0.1201,<PROJECT_ROOT>\output\paper_fairness_controls\garden\3dgs_40k_cont\compare.csv,2026-05-14T21:36:22
Mip-NeRF360,garden,SH-only-10k,27.4903,0.8591,0.1195,<PROJECT_ROOT>\output\paper_fairness_controls\garden\sh_only_10k\compare.csv,2026-05-14T22:02:09
Mip-NeRF360,garden,App-only-10k,27.4701,0.8592,0.1199,<PROJECT_ROOT>\output\paper_fairness_controls\garden\app_only_10k\compare.csv,2026-05-14T22:43:55
Mip-NeRF360,garden,GeoFAR-SH,27.4898,0.8594,0.1192,<PROJECT_ROOT>\output\paper_fairness_controls\garden\geofar_sh_ours\compare.csv,2026-05-14T23:29:46
Mip-NeRF360,kitchen,3DGS-30k,31.1149,0.9275,0.1192,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_30k_baseline\compare.csv,2026-05-14T23:29:46
Mip-NeRF360,kitchen,3DGS-40k-cont,31.6346,0.9333,0.1149,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\3dgs_40k_cont\compare.csv,2026-05-14T23:48:23
Mip-NeRF360,kitchen,SH-only-10k,31.8052,0.9343,0.1141,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\sh_only_10k\compare.csv,2026-05-15T00:07:10
Mip-NeRF360,kitchen,App-only-10k,31.7328,0.9341,0.1147,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\app_only_10k\compare.csv,2026-05-15T00:36:06
Mip-NeRF360,kitchen,GeoFAR-SH,31.8134,0.9345,0.1140,<PROJECT_ROOT>\output\paper_fairness_controls\kitchen\geofar_sh_ours\compare.csv,2026-05-15T01:06:52
Mip-NeRF360,room,3DGS-30k,31.8369,0.9280,0.1955,<PROJECT_ROOT>\output\paper_fairness_controls\room\3dgs_30k_baseline\compare.csv,2026-05-15T01:06:52
Mip-NeRF360,room,3DGS-40k-cont,32.0938,0.9288,0.1933,<PROJECT_ROOT>\output\paper_fairness_controls\room\3dgs_40k_cont\compare.csv,2026-05-15T01:23:21
Mip-NeRF360,room,SH-only-10k,32.2441,0.9293,0.1931,<PROJECT_ROOT>\output\paper_fairness_controls\room\sh_only_10k\compare.csv,2026-05-15T01:40:28
Mip-NeRF360,room,App-only-10k,32.1935,0.9292,0.1936,<PROJECT_ROOT>\output\paper_fairness_controls\room\app_only_10k\compare.csv,2026-05-15T02:03:31
Mip-NeRF360,room,GeoFAR-SH,32.2599,0.9296,0.1929,<PROJECT_ROOT>\output\paper_fairness_controls\room\geofar_sh_ours\compare.csv,2026-05-15T02:27:54
Mip-NeRF360,stump,3DGS-30k,26.6826,0.7684,0.2426,<PROJECT_ROOT>\output\paper_fairness_controls\stump\3dgs_30k_baseline\compare.csv,2026-05-15T02:27:54
Mip-NeRF360,stump,3DGS-40k-cont,26.5982,0.7660,0.2424,<PROJECT_ROOT>\output\paper_fairness_controls\stump\3dgs_40k_cont\compare.csv,2026-05-15T02:46:40
Mip-NeRF360,stump,SH-only-10k,26.6627,0.7675,0.2421,<PROJECT_ROOT>\output\paper_fairness_controls\stump\sh_only_10k\compare.csv,2026-05-15T03:07:38
Mip-NeRF360,stump,App-only-10k,26.6985,0.7688,0.2418,<PROJECT_ROOT>\output\paper_fairness_controls\stump\app_only_10k\compare.csv,2026-05-15T03:38:53
Mip-NeRF360,stump,GeoFAR-SH,26.6464,0.7670,0.2420,<PROJECT_ROOT>\output\paper_fairness_controls\stump\geofar_sh_ours\compare.csv,2026-05-15T04:14:31
Mip-NeRF360,treehill,3DGS-30k,22.6151,0.6352,0.3474,<PROJECT_ROOT>\output\paper_fairness_controls\treehill\3dgs_30k_baseline\compare.csv,2026-05-15T04:14:31
Mip-NeRF360,treehill,3DGS-40k-cont,22.5529,0.6355,0.3444,<PROJECT_ROOT>\output\paper_fairness_controls\treehill\3dgs_40k_cont\compare.csv,2026-05-15T04:32:25
Mip-NeRF360,treehill,SH-only-10k,22.5631,0.6361,0.3453,<PROJECT_ROOT>\output\paper_fairness_controls\treehill\sh_only_10k\compare.csv,2026-05-15T04:51:15
Mip-NeRF360,treehill,App-only-10k,22.5686,0.6362,0.3454,<PROJECT_ROOT>\output\paper_fairness_controls\treehill\app_only_10k\compare.csv,2026-05-15T05:19:46
Mip-NeRF360,treehill,GeoFAR-SH,22.5515,0.6357,0.3452,<PROJECT_ROOT>\output\paper_fairness_controls\treehill\geofar_sh_ours\compare.csv,2026-05-15T05:51:32
Tanks&Temples,train,3DGS-30k,21.7942,0.8194,0.1972,<PROJECT_ROOT>\output\paper_fairness_controls\train\3dgs_30k_baseline\compare.csv,2026-05-15T05:51:32
Tanks&Temples,train,3DGS-40k-cont,22.2552,0.8239,0.1916,<PROJECT_ROOT>\output\paper_fairness_controls\train\3dgs_40k_cont\compare.csv,2026-05-15T06:00:55
Tanks&Temples,train,SH-only-10k,22.4234,0.8254,0.1930,<PROJECT_ROOT>\output\paper_fairness_controls\train\sh_only_10k\compare.csv,2026-05-15T06:10:50
Tanks&Temples,train,App-only-10k,22.3472,0.8242,0.1936,<PROJECT_ROOT>\output\paper_fairness_controls\train\app_only_10k\compare.csv,2026-05-15T06:28:44
Tanks&Temples,train,GeoFAR-SH,22.4247,0.8254,0.1921,<PROJECT_ROOT>\output\paper_fairness_controls\train\geofar_sh_ours\compare.csv,2026-05-15T06:47:54
Tanks&Temples,truck,3DGS-30k,25.5247,0.8850,0.1418,<PROJECT_ROOT>\output\paper_fairness_controls\truck\3dgs_30k_baseline\compare.csv,2026-05-15T06:47:54
Tanks&Temples,truck,3DGS-40k-cont,25.4977,0.8855,0.1395,<PROJECT_ROOT>\output\paper_fairness_controls\truck\3dgs_40k_cont\compare.csv,2026-05-15T06:58:58
Tanks&Temples,truck,SH-only-10k,25.5933,0.8862,0.1401,<PROJECT_ROOT>\output\paper_fairness_controls\truck\sh_only_10k\compare.csv,2026-05-15T07:11:02
Tanks&Temples,truck,App-only-10k,25.5374,0.8860,0.1404,<PROJECT_ROOT>\output\paper_fairness_controls\truck\app_only_10k\compare.csv,2026-05-15T07:32:15
Tanks&Temples,truck,GeoFAR-SH,25.5897,0.8863,0.1397,<PROJECT_ROOT>\output\paper_fairness_controls\truck\geofar_sh_ours\compare.csv,2026-05-15T07:55:43
DeepBlending,drjohnson,3DGS-30k,29.4453,0.9055,0.2358,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_30k_baseline\compare.csv,2026-05-15T07:55:44
DeepBlending,drjohnson,3DGS-40k-cont,29.4836,0.9036,0.2354,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_40k_cont\compare.csv,2026-05-15T08:13:05
DeepBlending,drjohnson,SH-only-10k,29.6608,0.9060,0.2341,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\sh_only_10k\compare.csv,2026-05-15T08:32:15
DeepBlending,drjohnson,App-only-10k,29.6846,0.9064,0.2338,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\app_only_10k\compare.csv,2026-05-15T08:58:57
